"";"Taxa";"BL";"FR";"BD";"MO";"AM";"LS";"OT";"OS";"CS";"id";"name";"AphiaID";"url";"scientificname";"authority";"status";"unacceptreason";"taxonRankID";"rank";"valid_AphiaID";"valid_name";"valid_authority";"parentNameUsageID";"kingdom";"phylum";"class";"order";"family";"genus";"citation";"lsid";"isMarine";"isBrackish";"isFreshwater";"isTerrestrial";"isExtinct";"match_type";"modified";"Kingdom";"Phylum";"Subphylum";"Superclass";"Class";"Subclass";"Superorder";"Order";"Suborder";"Infraorder";"Parvorder";"Superfamily";"Family";"Genus";"Species";"Infraclass";"Subterclass";"Subfamily";"Tribe";"Section";"Subsection";"Subgenus";"Subspecies"
"62";"Bela nebula";2;1;3;2;1;2;3;3;1;62;"Bela nebula";139217;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=139217";"Bela nebula";"(Montagu, 1803)";"accepted";NA;220;"Species";139217;"Bela nebula";"(Montagu, 1803)";137807;"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Mangeliidae";"Bela";"MolluscaBase eds. (2021). MolluscaBase. Bela nebula (Montagu, 1803). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=139217 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:139217";1;NA;NA;NA;NA;"exact";"2009-12-02T14:47:43.180Z";"Animalia";"Mollusca";NA;NA;"Gastropoda";"Caenogastropoda";NA;"Neogastropoda";NA;NA;NA;"Conoidea";"Mangeliidae";"Bela";"Bela nebula";NA;NA;NA;NA;NA;NA;NA;NA
"63";"Bodotria arenosa";1;2;3;1;1;1;1;2;1;63;"Bodotria arenosa";110440;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=110440";"Bodotria arenosa";"Goodsir, 1843";"accepted";NA;220;"Species";110440;"Bodotria arenosa";"Goodsir, 1843";110387;"Animalia";"Arthropoda";"Malacostraca";"Cumacea";"Bodotriidae";"Bodotria";"Watling, L.; Gerken, S. (2021). World Cumacea Database. Bodotria arenosa Goodsir, 1843. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110440 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:110440";1;NA;NA;0;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Peracarida";"Cumacea";NA;NA;NA;NA;"Bodotriidae";"Bodotria";"Bodotria arenosa";NA;NA;"Bodotriinae";NA;NA;NA;NA;NA
"64";"Bodotria scorpioides";1;2;3;1;1;1;1;2;1;64;"Bodotria scorpioides";110445;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=110445";"Bodotria scorpioides";"(Montagu, 1804)";"accepted";NA;220;"Species";110445;"Bodotria scorpioides";"(Montagu, 1804)";110387;"Animalia";"Arthropoda";"Malacostraca";"Cumacea";"Bodotriidae";"Bodotria";"Watling, L.; Gerken, S. (2021). World Cumacea Database. Bodotria scorpioides (Montagu, 1804). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110445 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:110445";1;NA;NA;0;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Peracarida";"Cumacea";NA;NA;NA;NA;"Bodotriidae";"Bodotria";"Bodotria scorpioides";NA;NA;"Bodotriinae";NA;NA;NA;NA;NA
"65";"Branchiostoma lanceolatum";3;2;3;1;2;3;3;3;1;65;"Branchiostoma lanceolatum";104906;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=104906";"Branchiostoma lanceolatum";"(Pallas, 1774)";"accepted";NA;220;"Species";104906;"Branchiostoma lanceolatum";"(Pallas, 1774)";104902;"Animalia";"Chordata";"Leptocardii";NA;"Branchiostomatidae";"Branchiostoma";"WoRMS (2021). Branchiostoma lanceolatum (Pallas, 1774). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=104906 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:104906";1;NA;NA;NA;NA;"exact";"2013-05-06T11:50:34.367Z";"Animalia";"Chordata";"Cephalochordata";NA;"Leptocardii";NA;NA;NA;NA;NA;NA;NA;"Branchiostomatidae";"Branchiostoma";"Branchiostoma lanceolatum";NA;NA;NA;NA;NA;NA;NA;NA
"66";"Brissopsis lyrifera";3;3;3;2;3;3;3;4;1,2;66;"Brissopsis lyrifera";124373;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=124373";"Brissopsis lyrifera";"(Forbes, 1841)";"accepted";NA;220;"Species";124373;"Brissopsis lyrifera";"(Forbes, 1841)";123418;"Animalia";"Echinodermata";"Echinoidea";"Spatangoida";"Brissidae";"Brissopsis";"Kroh, A.; Mooi, R. (2021). World Echinoidea Database. Brissopsis lyrifera (Forbes, 1841). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=124373 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:124373";1;0;0;0;0;"exact";"2013-08-26T18:24:18.240Z";"Animalia";"Echinodermata";"Echinozoa";NA;"Echinoidea";"Euechinoidea";"Atelostomata";"Spatangoida";"Brissidina";NA;NA;NA;"Brissidae";"Brissopsis";"Brissopsis lyrifera";"Irregularia";NA;"Brissopsinae";NA;NA;NA;NA;NA
"67";"Buccinidae";3;1;4;2;3;4;3;3;2;67;"Buccinidae";149;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=149";"Buccinidae";"Rafinesque, 1815";"accepted";NA;140;"Family";149;"Buccinidae";"Rafinesque, 1815";382214;"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Buccinidae";NA;"MolluscaBase eds. (2021). MolluscaBase. Buccinidae Rafinesque, 1815. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:149";1;1;NA;NA;NA;"exact";"2010-10-10T10:26:13.040Z";"Animalia";"Mollusca";NA;NA;"Gastropoda";"Caenogastropoda";NA;"Neogastropoda";NA;NA;NA;"Buccinoidea";"Buccinidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"68";"Buccinum humphreysianum";3;1;4;2;3;4;3;3;2;68;"Buccinum humphreysianum";138865;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=138865";"Buccinum humphreysianum";"Bennett, 1824";"accepted";NA;220;"Species";138865;"Buccinum humphreysianum";"Bennett, 1824";137701;"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Buccinidae";"Buccinum";"MolluscaBase eds. (2021). MolluscaBase. Buccinum humphreysianum Bennett, 1824. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138865 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:138865";1;NA;NA;NA;NA;"exact";"2015-02-28T15:28:45.863Z";"Animalia";"Mollusca";NA;NA;"Gastropoda";"Caenogastropoda";NA;"Neogastropoda";NA;NA;NA;"Buccinoidea";"Buccinidae";"Buccinum";"Buccinum humphreysianum";NA;NA;NA;NA;NA;NA;NA;NA
"69";"Buccinum undatum";3;1;4;2;3;4;3;3;1,2;69;"Buccinum undatum";138878;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=138878";"Buccinum undatum";"Linnaeus, 1758";"accepted";NA;220;"Species";138878;"Buccinum undatum";"Linnaeus, 1758";137701;"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Buccinidae";"Buccinum";"MolluscaBase eds. (2021). MolluscaBase. Buccinum undatum Linnaeus, 1758. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138878 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:138878";1;NA;NA;NA;NA;"exact";"2010-07-19T15:09:49.263Z";"Animalia";"Mollusca";NA;NA;"Gastropoda";"Caenogastropoda";NA;"Neogastropoda";NA;NA;NA;"Buccinoidea";"Buccinidae";"Buccinum";"Buccinum undatum";NA;NA;NA;NA;NA;NA;NA;NA
"70";"Bylgides sarsi";2;3;3;2;2;2;3;3;1;70;"Bylgides sarsi";130735;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=130735";"Bylgides sarsi";"(Kinberg in Malmgren, 1866)";"accepted";NA;220;"Species";130735;"Bylgides sarsi";"(Kinberg in Malmgren, 1866)";129483;"Animalia";"Annelida";"Polychaeta";"Phyllodocida";"Polynoidae";"Bylgides";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Bylgides sarsi (Kinberg in Malmgren, 1866). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=130735 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:130735";1;0;0;0;0;"exact";"2008-03-26T11:36:43.420Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Errantia";NA;"Phyllodocida";"Aphroditiformia";NA;NA;NA;"Polynoidae";"Bylgides";"Bylgides sarsi";NA;NA;"Polynoinae";NA;NA;NA;NA;NA
"71";"Calliactis parasitica";3;1;4;4;3;4;3;3;2;71;"Calliactis parasitica";100946;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=100946";"Calliactis parasitica";"(Couch, 1842)";"accepted";NA;220;"Species";100946;"Calliactis parasitica";"(Couch, 1842)";100754;"Animalia";"Cnidaria";"Anthozoa";"Actiniaria";"Hormathiidae";"Calliactis";"Daly, M.; Fautin, D. (2021). World List of Actiniaria. Calliactis parasitica (Couch, 1842). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=100946 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:100946";1;NA;NA;NA;NA;"exact";"2015-10-13T10:34:41.473Z";"Animalia";"Cnidaria";NA;NA;"Anthozoa";"Hexacorallia";NA;"Actiniaria";"Enthemonae";NA;NA;"Metridioidea";"Hormathiidae";"Calliactis";"Calliactis parasitica";NA;NA;NA;NA;NA;NA;NA;NA
"72";"Callianassa";3;3;1;2;2;2;2;1;1;72;"Callianassa";107072;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107072";"Callianassa";"Leach, 1814 [in Leach, 1813-1815]";"accepted";NA;180;"Genus";107072;"Callianassa";"Leach, 1814 [in Leach, 1813-1815]";106800;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Callianassidae";"Callianassa";"WoRMS (2021). Callianassa Leach, 1814 [in Leach, 1813-1815]. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107072 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107072";1;NA;NA;NA;NA;"exact";"2020-05-22T11:43:31.773Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Axiidea";NA;NA;"Callianassidae";"Callianassa";NA;NA;NA;NA;NA;NA;NA;NA;NA
"73";"Calliostoma granulatum";3;1;4;2;2;3;3;3;2;73;"Calliostoma granulatum";141753;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=141753";"Calliostoma granulatum";"(Born, 1778)";"accepted";NA;220;"Species";141753;"Calliostoma granulatum";"(Born, 1778)";138584;"Animalia";"Mollusca";"Gastropoda";"Trochida";"Calliostomatidae";"Calliostoma";"MolluscaBase eds. (2021). MolluscaBase. Calliostoma granulatum (Born, 1778). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=141753 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:141753";1;NA;NA;NA;NA;"exact";"2014-03-29T21:10:16.500Z";"Animalia";"Mollusca";NA;NA;"Gastropoda";"Vetigastropoda";NA;"Trochida";NA;NA;NA;"Trochoidea";"Calliostomatidae";"Calliostoma";"Calliostoma granulatum";NA;NA;"Calliostomatinae";NA;NA;NA;NA;NA
"74";"Calliostoma zizyphinum";3;1;4;2;2;3;3;3;2;74;"Calliostoma zizyphinum";141767;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=141767";"Calliostoma zizyphinum";"(Linnaeus, 1758)";"accepted";NA;220;"Species";141767;"Calliostoma zizyphinum";"(Linnaeus, 1758)";138584;"Animalia";"Mollusca";"Gastropoda";"Trochida";"Calliostomatidae";"Calliostoma";"MolluscaBase eds. (2021). MolluscaBase. Calliostoma zizyphinum (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=141767 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:141767";1;0;0;0;NA;"exact";"2019-04-15T06:30:33.783Z";"Animalia";"Mollusca";NA;NA;"Gastropoda";"Vetigastropoda";NA;"Trochida";NA;NA;NA;"Trochoidea";"Calliostomatidae";"Calliostoma";"Calliostoma zizyphinum";NA;NA;"Calliostomatinae";NA;NA;NA;NA;NA
"75";"Calocaris macandreae";3;2;1;1;2;3;3;2;2;75;"Calocaris macandreae";107726;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107726";"Calocaris macandreae";"Bell, 1846 [in Bell, 1844-1853]";"accepted";NA;220;"Species";107726;"Calocaris macandreae";"Bell, 1846 [in Bell, 1844-1853]";107071;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Axiidae";"Calocaris";"WoRMS (2021). Calocaris macandreae Bell, 1846 [in Bell, 1844-1853]. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107726 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107726";1;NA;NA;NA;NA;"exact";"2020-04-14T19:23:11.320Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Axiidea";NA;NA;"Axiidae";"Calocaris";"Calocaris macandreae";NA;NA;NA;NA;NA;NA;NA;NA
"76";"Cancer bellianus";5;1;3;2;2;3;2;2;2;76;"Cancer bellianus";107275;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107275";"Cancer bellianus";"J.Y. Johnson, 1861";"accepted";NA;220;"Species";107275;"Cancer bellianus";"J.Y. Johnson, 1861";106876;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Cancridae";"Cancer";"WoRMS (2021). Cancer bellianus J.Y. Johnson, 1861. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107275 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107275";1;NA;NA;NA;NA;"exact";"2020-03-09T09:04:39.440Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Brachyura";NA;"Cancroidea";"Cancridae";"Cancer";"Cancer bellianus";NA;NA;NA;NA;"Eubrachyura";"Heterotremata";NA;NA
"77";"Cancer pagurus";5;1;1;2;3;4;2;1;2;77;"Cancer pagurus";107276;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107276";"Cancer pagurus";"Linnaeus, 1758";"accepted";NA;220;"Species";107276;"Cancer pagurus";"Linnaeus, 1758";106876;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Cancridae";"Cancer";"WoRMS (2021). Cancer pagurus Linnaeus, 1758. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107276 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107276";1;NA;NA;NA;0;"exact";"2020-09-02T19:03:26.137Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Brachyura";NA;"Cancroidea";"Cancridae";"Cancer";"Cancer pagurus";NA;NA;NA;NA;"Eubrachyura";"Heterotremata";NA;NA
"78";"Capitella capitata";3;3;3;3;1;1;2;3;1;78;"Capitella capitata";129876;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=129876";"Capitella capitata";"(Fabricius, 1780)";"accepted";NA;220;"Species";129876;"Capitella capitata";"(Fabricius, 1780)";129211;"Animalia";"Annelida";"Polychaeta";NA;"Capitellidae";"Capitella";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Capitella capitata (Fabricius, 1780). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=129876 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:129876";1;1;1;0;0;"exact";"2019-03-15T00:42:40.723Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Sedentaria";NA;NA;NA;NA;NA;NA;"Capitellidae";"Capitella";"Capitella capitata";"Scolecida";NA;NA;NA;NA;NA;NA;NA
"79";"Carcinus maenas";3;3;3;2;2;3;2;1;1;79;"Carcinus maenas";107381;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107381";"Carcinus maenas";"(Linnaeus, 1758)";"accepted";NA;220;"Species";107381;"Carcinus maenas";"(Linnaeus, 1758)";106922;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Carcinidae";"Carcinus";"WoRMS (2021). Carcinus maenas (Linnaeus, 1758). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107381 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107381";1;NA;NA;NA;0;"exact";"2020-09-02T19:03:26.137Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Brachyura";NA;"Portunoidea";"Carcinidae";"Carcinus";"Carcinus maenas";NA;NA;"Carcininae";NA;"Eubrachyura";"Heterotremata";NA;NA
"80";"Caryophyllia";2;3;4;4;2;4;3;3;2;80;"Caryophyllia";135085;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=135085";"Caryophyllia";"Lamarck, 1801";"accepted";NA;180;"Genus";135085;"Caryophyllia";"Lamarck, 1801";135073;"Animalia";"Cnidaria";"Anthozoa";"Scleractinia";"Caryophylliidae";"Caryophyllia";"Hoeksema, B. W.; Cairns, S. (2021). World List of Scleractinia. Caryophyllia Lamarck, 1801. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=135085 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:135085";1;0;0;0;0;"exact";"2020-01-12T17:20:22.097Z";"Animalia";"Cnidaria";NA;NA;"Anthozoa";"Hexacorallia";NA;"Scleractinia";NA;NA;NA;NA;"Caryophylliidae";"Caryophyllia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"81";"Caryophyllia (Caryophyllia) smithii";2;3;4;4;2;4;3;3;2;81;"Caryophyllia (Caryophyllia) smithii";135144;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=135144";"Caryophyllia (Caryophyllia) smithii";"Stokes & Broderip, 1828";"accepted";NA;220;"Species";135144;"Caryophyllia (Caryophyllia) smithii";"Stokes & Broderip, 1828";509666;"Animalia";"Cnidaria";"Anthozoa";"Scleractinia";"Caryophylliidae";"Caryophyllia";"Hoeksema, B. W.; Cairns, S. (2021). World List of Scleractinia. Caryophyllia (Caryophyllia) smithii Stokes & Broderip, 1828. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=135144 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:135144";1;NA;0;0;NA;"exact";"2020-07-21T08:47:34.157Z";"Animalia";"Cnidaria";NA;NA;"Anthozoa";"Hexacorallia";NA;"Scleractinia";NA;NA;NA;NA;"Caryophylliidae";"Caryophyllia";"Caryophyllia (Caryophyllia) smithii";NA;NA;NA;NA;NA;NA;"Caryophyllia (Caryophyllia)";NA
"82";"Chaetopterus variopedatus";5;3;1;3;1;2;3;3;1;82;"Chaetopterus variopedatus";129914;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=129914";"Chaetopterus variopedatus";"(Renier, 1804)";"accepted";NA;220;"Species";129914;"Chaetopterus variopedatus";"(Renier, 1804)";129229;"Animalia";"Annelida";"Polychaeta";NA;"Chaetopteridae";"Chaetopterus";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Chaetopterus variopedatus (Renier, 1804). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=129914 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:129914";1;0;0;0;0;"exact";"2012-07-09T22:25:23.187Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Sedentaria";NA;NA;NA;NA;NA;NA;"Chaetopteridae";"Chaetopterus";"Chaetopterus variopedatus";NA;NA;NA;NA;NA;NA;NA;NA
"83";"Chaetozone setosa";2;3;2;2;1;2;3;3;1;83;"Chaetozone setosa";129955;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=129955";"Chaetozone setosa";"Malmgren, 1867";"accepted";NA;220;"Species";129955;"Chaetozone setosa";"Malmgren, 1867";129242;"Animalia";"Annelida";"Polychaeta";"Terebellida";"Cirratulidae";"Chaetozone";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Chaetozone setosa Malmgren, 1867. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=129955 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:129955";1;0;0;0;0;"exact";"2015-02-19T21:07:27.513Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Sedentaria";NA;"Terebellida";"Cirratuliformia";NA;NA;NA;"Cirratulidae";"Chaetozone";"Chaetozone setosa";"Canalipalpata";NA;NA;NA;NA;NA;NA;NA
"84";"Chamelea striatula";3;1;3;2;2;4;3;4;1;84;"Chamelea striatula";141908;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=141908";"Chamelea striatula";"(da Costa, 1778)";"accepted";NA;220;"Species";141908;"Chamelea striatula";"(da Costa, 1778)";138633;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Chamelea";"MolluscaBase eds. (2021). MolluscaBase. Chamelea striatula (da Costa, 1778). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=141908 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:141908";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";"Imparidentia";"Venerida";NA;NA;NA;"Veneroidea";"Veneridae";"Chamelea";"Chamelea striatula";"Heteroconchia";"Euheterodonta";NA;NA;NA;NA;NA;NA
"85";"Cheirocratus sundevalli";2;2;3;1;1;1;1;1;1;1;"Cheirocratus sundevalli";102798;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=102798";"Cheirocratus sundevallii";"(Rathke, 1843)";"accepted";NA;220;"Species";102798;"Cheirocratus sundevallii";"(Rathke, 1843)";101669;"Animalia";"Arthropoda";"Malacostraca";"Amphipoda";"Cheirocratidae";"Cheirocratus";"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2021). World Amphipoda Database. Cheirocratus sundevallii (Rathke, 1843). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=102798 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:102798";1;0;0;0;NA;"phonetic";"2017-01-04T06:56:14.110Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Peracarida";"Amphipoda";"Senticaudata";"Hadziida";"Hadziidira";"Calliopioidea";"Cheirocratidae";"Cheirocratus";"Cheirocratus sundevallii";NA;NA;NA;NA;NA;NA;NA;NA
"86";"Chlorotocus crassicornis";3;2;4;1;2;3;2;1;2;86;"Chlorotocus crassicornis";107642;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107642";"Chlorotocus crassicornis";"(A. Costa, 1871)";"accepted";NA;220;"Species";107642;"Chlorotocus crassicornis";"(A. Costa, 1871)";107040;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Pandalidae";"Chlorotocus";"WoRMS (2021). Chlorotocus crassicornis (A. Costa, 1871). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107642 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107642";1;NA;0;0;NA;"exact";"2011-12-01T06:37:19.107Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Caridea";NA;"Pandaloidea";"Pandalidae";"Chlorotocus";"Chlorotocus crassicornis";NA;NA;NA;NA;NA;NA;NA;NA
"87";"Cidaris cidaris";3;3;4;2;3;4;3;4;2;87;"Cidaris cidaris";124257;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=124257";"Cidaris cidaris";"(Linnaeus, 1758)";"accepted";NA;220;"Species";124257;"Cidaris cidaris";"(Linnaeus, 1758)";123377;"Animalia";"Echinodermata";"Echinoidea";"Cidaroida";"Cidaridae";"Cidaris";"Kroh, A.; Mooi, R. (2021). World Echinoidea Database. Cidaris cidaris (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=124257 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:124257";1;0;0;0;0;"exact";"2011-04-26T08:50:20.133Z";"Animalia";"Echinodermata";"Echinozoa";NA;"Echinoidea";"Cidaroidea";NA;"Cidaroida";NA;NA;NA;"Cidaroidea";"Cidaridae";"Cidaris";"Cidaris cidaris";NA;NA;"Cidarinae";NA;NA;NA;NA;NA
"88";"Colus";3;1;4;2;3;4;3;3;2;88;"Colus";137704;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=137704";"Colus";"Röding, 1798";"accepted";NA;180;"Genus";137704;"Colus";"Röding, 1798";149;"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Buccinidae";"Colus";"MolluscaBase eds. (2021). MolluscaBase. Colus Röding, 1798. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=137704 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:137704";1;NA;NA;NA;NA;"exact";"2017-12-22T17:35:50.560Z";"Animalia";"Mollusca";NA;NA;"Gastropoda";"Caenogastropoda";NA;"Neogastropoda";NA;NA;NA;"Buccinoidea";"Buccinidae";"Colus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"89";"Colus gracilis";3;1;4;2;3;4;3;3;2;89;"Colus gracilis";138899;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=138899";"Colus gracilis";"(da Costa, 1778)";"accepted";NA;220;"Species";138899;"Colus gracilis";"(da Costa, 1778)";137704;"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Buccinidae";"Colus";"MolluscaBase eds. (2021). MolluscaBase. Colus gracilis (da Costa, 1778). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138899 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:138899";1;NA;NA;NA;NA;"exact";"2010-07-19T15:09:49.263Z";"Animalia";"Mollusca";NA;NA;"Gastropoda";"Caenogastropoda";NA;"Neogastropoda";NA;NA;NA;"Buccinoidea";"Buccinidae";"Colus";"Colus gracilis";NA;NA;NA;NA;NA;NA;NA;NA
