"";"Taxa";"BL";"FR";"BD";"MO";"AM";"LS";"OT";"OS";"CS";"id";"name";"AphiaID";"url";"scientificname";"authority";"status";"unacceptreason";"taxonRankID";"rank";"valid_AphiaID";"valid_name";"valid_authority";"parentNameUsageID";"kingdom";"phylum";"class";"order";"family";"genus";"citation";"lsid";"isMarine";"isBrackish";"isFreshwater";"isTerrestrial";"isExtinct";"match_type";"modified";"Kingdom";"Phylum";"Subphylum";"Superclass";"Class";"Subclass";"Superorder";"Order";"Suborder";"Infraorder";"Parvorder";"Superfamily";"Family";"Genus";"Species";"Infraclass";"Subterclass";"Subfamily";"Tribe";"Section";"Subsection";"Subgenus";"Subspecies"
"11";"Actinauge";3;1;3;4;3;4;3;3;2;11;"Actinauge";100750;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=100750";"Actinauge";"Verrill, 1883";"accepted";NA;180;"Genus";100750;"Actinauge";"Verrill, 1883";100672;"Animalia";"Cnidaria";"Anthozoa";"Actiniaria";"Hormathiidae";"Actinauge";"Daly, M.; Fautin, D. (2021). World List of Actiniaria. Actinauge Verrill, 1883. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=100750 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:100750";1;NA;NA;NA;NA;"exact";"2015-10-06T13:36:17.557Z";"Animalia";"Cnidaria";NA;NA;"Anthozoa";"Hexacorallia";NA;"Actiniaria";"Enthemonae";NA;NA;"Metridioidea";"Hormathiidae";"Actinauge";NA;NA;NA;NA;NA;NA;NA;NA;NA
"12";"Aegaeon lacazei";3;2;3;1;2;3;2;1;2;12;"Aegaeon lacazei";107549;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107549";"Aegaeon lacazei";"(Gourret, 1887)";"accepted";NA;220;"Species";107549;"Aegaeon lacazei";"(Gourret, 1887)";107005;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Crangonidae";"Aegaeon";"WoRMS (2021). Aegaeon lacazei (Gourret, 1887). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107549 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107549";1;NA;0;0;0;"exact";"2020-07-03T08:39:56.313Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Caridea";NA;"Crangonoidea";"Crangonidae";"Aegaeon";"Aegaeon lacazei";NA;NA;NA;NA;NA;NA;NA;NA
"13";"Aeolidia papillosa";4;2;4;2;1;2;3;4;2;13;"Aeolidia papillosa";138709;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=138709";"Aeolidia papillosa";"(Linnaeus, 1761)";"accepted";NA;220;"Species";138709;"Aeolidia papillosa";"(Linnaeus, 1761)";137630;"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Aeolidiidae";"Aeolidia";"MolluscaBase eds. (2021). MolluscaBase. Aeolidia papillosa (Linnaeus, 1761). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138709 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:138709";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Mollusca";NA;NA;"Gastropoda";"Heterobranchia";"Nudipleura";"Nudibranchia";"Cladobranchia";NA;NA;"Aeolidioidea";"Aeolidiidae";"Aeolidia";"Aeolidia papillosa";"Euthyneura";"Ringipleura";NA;NA;NA;NA;NA;NA
"14";"Aequipecten opercularis";3;1;4;1;2;3;3;4;2;14;"Aequipecten opercularis";140687;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=140687";"Aequipecten opercularis";"(Linnaeus, 1758)";"accepted";NA;220;"Species";140687;"Aequipecten opercularis";"(Linnaeus, 1758)";138313;"Animalia";"Mollusca";"Bivalvia";"Pectinida";"Pectinidae";"Aequipecten";"MolluscaBase eds. (2021). MolluscaBase. Aequipecten opercularis (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=140687 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:140687";1;NA;NA;NA;NA;"exact";"2009-04-30T13:20:50.350Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";NA;"Pectinida";NA;NA;NA;"Pectinoidea";"Pectinidae";"Aequipecten";"Aequipecten opercularis";"Pteriomorphia";NA;"Pectininae";"Aequipectinini";NA;NA;NA;NA
"15";"Alcyonium";5;2;4;4;3;4;3;3;2;15;"Alcyonium";125284;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=125284";"Alcyonium";"Linnaeus, 1758";"accepted";NA;180;"Genus";125284;"Alcyonium";"Linnaeus, 1758";125269;"Animalia";"Cnidaria";"Anthozoa";"Alcyonacea";"Alcyoniidae";"Alcyonium";"WoRMS (2021). Alcyonium Linnaeus, 1758. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=125284 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:125284";1;0;0;0;0;"exact";"2016-10-20T06:37:02.803Z";"Animalia";"Cnidaria";NA;NA;"Anthozoa";"Octocorallia";NA;"Alcyonacea";"Alcyoniina";NA;NA;NA;"Alcyoniidae";"Alcyonium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"Alcyonium digitatum";5;2;4;4;3;4;3;3;2;16;"Alcyonium digitatum";125333;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=125333";"Alcyonium digitatum";"Linnaeus, 1758";"accepted";NA;220;"Species";125333;"Alcyonium digitatum";"Linnaeus, 1758";125284;"Animalia";"Cnidaria";"Anthozoa";"Alcyonacea";"Alcyoniidae";"Alcyonium";"Cordeiro, R.; McFadden, C.; van Ofwegen, L.; Williams, G. (2021). World List of Octocorallia. Alcyonium digitatum Linnaeus, 1758. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=125333 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:125333";1;NA;0;0;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Cnidaria";NA;NA;"Anthozoa";"Octocorallia";NA;"Alcyonacea";"Alcyoniina";NA;NA;NA;"Alcyoniidae";"Alcyonium";"Alcyonium digitatum";NA;NA;NA;NA;NA;NA;NA;NA
"17";"Alcyonium glomeratum";5;2;4;4;3;4;3;3;2;17;"Alcyonium glomeratum";132159;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=132159";"Alcyonium glomeratum";"(Hassall, 1843)";"accepted";NA;220;"Species";132159;"Alcyonium glomeratum";"(Hassall, 1843)";125284;"Animalia";"Cnidaria";"Anthozoa";"Alcyonacea";"Alcyoniidae";"Alcyonium";"Cordeiro, R.; McFadden, C.; van Ofwegen, L.; Williams, G. (2021). World List of Octocorallia. Alcyonium glomeratum (Hassall, 1843). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=132159 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:132159";1;NA;0;0;NA;"exact";"2019-06-28T02:54:31.600Z";"Animalia";"Cnidaria";NA;NA;"Anthozoa";"Octocorallia";NA;"Alcyonacea";"Alcyoniina";NA;NA;NA;"Alcyoniidae";"Alcyonium";"Alcyonium glomeratum";NA;NA;NA;NA;NA;NA;NA;NA
"18";"Alitta virens";5;3;1;1;2;2;3;3;1;18;"Alitta virens";234851;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=234851";"Alitta virens";"(M. Sars, 1835)";"accepted";NA;220;"Species";234851;"Alitta virens";"(M. Sars, 1835)";234848;"Animalia";"Annelida";"Polychaeta";"Phyllodocida";"Nereididae";"Alitta";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Alitta virens (M. Sars, 1835). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=234851 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:234851";1;0;0;0;0;"exact";"2008-03-26T11:36:43.420Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Errantia";NA;"Phyllodocida";"Nereidiformia";NA;NA;NA;"Nereididae";"Alitta";"Alitta virens";NA;NA;"Nereidinae";NA;NA;NA;NA;NA
"19";"Alpheus glaber";3;2;4;1;1;2;2;2;2;19;"Alpheus glaber";107477;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107477";"Alpheus glaber";"(Olivi, 1792)";"accepted";NA;220;"Species";107477;"Alpheus glaber";"(Olivi, 1792)";106978;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Alpheidae";"Alpheus";"WoRMS (2021). Alpheus glaber (Olivi, 1792). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107477 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107477";1;NA;0;0;0;"exact";"2021-01-27T13:22:25.327Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Caridea";NA;"Alpheoidea";"Alpheidae";"Alpheus";"Alpheus glaber";NA;NA;NA;NA;NA;NA;NA;NA
"20";"Ampelisca brevicornis";2;2;3;1;1;2;1;1;1;20;"Ampelisca brevicornis";101891;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=101891";"Ampelisca brevicornis";"(Costa, 1853)";"accepted";NA;220;"Species";101891;"Ampelisca brevicornis";"(Costa, 1853)";101445;"Animalia";"Arthropoda";"Malacostraca";"Amphipoda";"Ampeliscidae";"Ampelisca";"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2021). World Amphipoda Database. Ampelisca brevicornis (Costa, 1853). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=101891 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:101891";1;0;0;0;NA;"exact";"2018-09-01T18:07:38.260Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Peracarida";"Amphipoda";"Amphilochidea";"Lysianassida";"Synopiidira";"Synopioidea";"Ampeliscidae";"Ampelisca";"Ampelisca brevicornis";NA;NA;NA;NA;NA;NA;NA;NA
