Phyllum;Class;Order;Family;Genus;Taxon;Mobility;Fragility;Position;Size;Feeding mode;VME;sp_vulne_ospar;Longevity;Larval development
Mollusca;Gastropoda;Anaspidea;Aplysiidae;Aplysia;Aplysia punctata;1;2;2;3;1;2;2;3;
Mollusca;Gastropoda;Anaspidea;Aplysiidae;;Aplysiidae;1;2;2;3;1;2;2;3;
Annelida;Polychaeta;Eunicida;Onuphidae;Aponuphis;Aponuphis bilineata;2;0;1;2;1;2;2;;
Annelida;Polychaeta;Eunicida;Onuphidae;Aponuphis;Aponuphis brementi;2;0;1;2;1;2;2;;
Mollusca;Gastropoda;Littorinimorpha;Aporrhaidae;;Aporrhaidae;1;0;2;0;1;2;2;3;
Mollusca;Gastropoda;Littorinimorpha;Aporrhaidae;Aporrhais;Aporrhais pespelecani;1;0;2;0;1;2;2;3;
Mollusca;Gastropoda;Littorinimorpha;Aporrhaidae;Aporrhais;Aporrhais serresianus;1;0;2;0;1;2;2;3;
Arthropoda;Malacostraca;Tanaidacea;Apseudidae;Apseudes;Apseudes grossimanus;1;3;2;0;1;2;2;;
Arthropoda;Malacostraca;Tanaidacea;Apseudidae;Apseudopsis;Apseudopsis latreillii;1;1;1;0;1;2;2;1;3
Mollusca;Gastropoda;Neogastropoda;Fasciolariidae;Aptyxis;Aptyxis syracusanus;1;0;2;0;1;2;2;;
Annelida;Polychaeta;Eunicida;Oenonidae;Arabella;Arabella iricolor;1;0;1;3;1;2;2;;
Mollusca;Bivalvia;Veneroida;Tellinidae;Arcopagia;Arcopagia balaustina;2;3;0;2;1;2;2;3;
Mollusca;Bivalvia;Veneroida;Tellinidae;Arcopagia;Arcopagia crassa;2;1;0;0;1;2;2;3;
Mollusca;Bivalvia;Cardiida;Tellinidae;Arcopella;Arcopella balaustina;2;3;0;0;1;2;2;;
Mollusca;Bivalvia;Veneroida;Arcticidae;Arctica;Arctica islandica;2;0;0;3;3;2;2;3;
Annelida;Polychaeta;;Arenicolidae;Arenicola;Arenicola marina;2;3;0;3;1;2;2;3;3
Annelida;Polychaeta;;Paraonidae;Aricidea;Aricidea (Acmira) simonae;1;0;1;3;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Aristeidae;Aristaeomorpha;Aristaeomorpha foliacea;1;1;2;3;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Aristeidae;Aristeus;Aristeus antennatus;1;1;2;2;1;2;2;;
Annelida;Polychaeta;;Opheliidae;Armandia;Armandia cirrhosa;1;0;1;2;3;2;2;;
Mollusca;Gastropoda;Nudibranchia;Arminidae;Armina;Armina loveni;1;2;2;0;1;2;2;;
Mollusca;Gastropoda;Nudibranchia;Arminidae;Armina;Armina maculata;1;2;2;0;1;2;2;;
Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;Ascidia;Ascidia;3;1;3;3;3;2;2;3;
Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;Ascidia;Ascidia conchilega;3;1;2;2;3;2;2;;
Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;Ascidia;Ascidia mentula;3;1;3;3;3;2;2;3;1
Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;Ascidia;Ascidia virginea;3;1;3;3;3;2;2;3;
Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;Ascidiella;Ascidiella;3;2;3;2;3;2;2;3;
Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;Ascidiella;Ascidiella aspersa;3;2;3;1;3;2;2;3;1
Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;Ascidiella;Ascidiella scabra;3;2;3;1;3;2;2;3;
Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;;Ascidiidae;3;3;3;3;3;2;2;3;1
Annelida;Polychaeta;;Scalibregmatidae;Asclerocheilus;Asclerocheilus intermedius;1;2;1;0;1;2;2;2;1
Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphonidae;Aspidosiphon;Aspidosiphon (Aspidosiphon) muelleri muelleri;2;2;0;0;1;2;2;3;
Mollusca;Bivalvia;Veneroida;Astartidae;Astarte;Astarte elliptica;2;1;0;0;3;2;2;3;
Mollusca;Bivalvia;Veneroida;Astartidae;Astarte;Astarte montagui;2;1;0;0;3;2;2;3;
Mollusca;Bivalvia;Veneroida;Astartidae;Astarte;Astarte sulcata;2;1;2;0;3;2;2;3;
Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Asterias;Asterias rubens;1;0;2;3;1;2;2;3;1
Echinodermata;Asteroidea;Valvatida;Asterinidae;Asterina;Asterina gibbosa;1;0;2;2;1;2;2;;
Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Astropecten;Astropecten;1;1;2;3;1;2;2;3;
Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Astropecten;Astropecten aranciacus;1;1;2;3;1;2;2;3;
Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Astropecten;Astropecten irregularis;1;1;2;3;1;2;2;3;
Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Astropecten;Astropecten irregularis pentacanthus;1;1;2;3;1;2;2;3;
Echinodermata;Ophiuroidea;Euryalida;Gorgonocephalidae;Astrospartus;Astrospartus mediterraneus;1;3;2;2;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Atelecyclidae;Atelecyclus;Atelecyclus rotundatus;1;1;1;0;1;2;2;2;1
Arthropoda;Malacostraca;Decapoda;Atelecyclidae;Atelecyclus;Atelecyclus undecimdentatus;1;1;1;0;1;2;2;2;1
Arthropoda;Malacostraca;Decapoda;Alpheidae;Athanas;Athanas nitescens;1;2;2;0;1;2;2;;
Mollusca;Bivalvia;Pterioida;Pinnidae;Atrina;Atrina fragilis;2;3;0;3;3;4;2;;
Mollusca;Bivalvia;Pterioida;Pinnidae;Atrina;Atrina pectinata;2;3;0;3;3;2;2;;
Porifera;Demospongiae;Halichondrida;Axinellidae;Axinella;Axinella;3;3;3;3;3;2;2;;
Porifera;Demospongiae;Halichondrida;Axinellidae;Axinella;Axinella dissimilis;3;3;3;3;3;2;2;;
Porifera;Demospongiae;Halichondrida;Axinellidae;Axinella;Axinella infundibuliformis;3;3;3;3;3;2;2;;
Porifera;Demospongiae;Halichondrida;Axinellidae;Axinella;Axinella verrucosa;3;3;3;3;3;2;2;;
Arthropoda;Malacostraca;Decapoda;Axiidae;Axius;Axius stirynchus;2;0;0;2;1;2;2;3;
Mollusca;Bivalvia;Veneroida;Solecurtidae;Azorinus;Azorinus chamasolen;2;1;0;0;3;2;2;;
Arthropoda;Maxillopoda;Sessilia;Balanidae;;Balanidae;3;2;2;0;3;2;2;3;
Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus;Balanus;3;2;2;0;3;2;2;3;
Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus;Balanus balanus;3;2;2;0;3;2;2;3;
Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus;Balanus crenatus;3;2;2;0;3;2;2;3;
Arthropoda;Hexanauplia;Sessilia;Balanidae;Balanus;Balanus spongicola;3;3;2;0;3;2;2;;1
Mollusca;Bivalvia;Myoida;Pholadidae;Barnea;Barnea candida;2;1;0;2;3;2;2;4;
Mollusca;Bivalvia;Myoida;Pholadidae;Barnea;Barnea parva;2;1;0;2;3;2;2;4;
Arthropoda;Malacostraca;Decapoda;Macropipidae;Bathynectes;Bathynectes longipes;1;1;2;2;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Macropipidae;Bathynectes;Bathynectes maravigna;1;1;2;2;1;2;2;;
Mollusca;Cephalopoda;Octopoda;Octopodidae;Bathypolypus;Bathypolypus sponsalis;0;2;2;3;1;2;2;;
Arthropoda;Malacostraca;Amphipoda;Bathyporeiidae;Bathyporeia;Bathyporeia guilliamsoniana;1;2;1;0;1;2;2;;
Arthropoda;Malacostraca;Amphipoda;Bathyporeiidae;Bathyporeia;Bathyporeia pelagica;1;2;1;0;1;2;2;2;3
Mollusca;Gastropoda;Pleurobranchomorpha;Pleurobranchidae;Berthella;Berthella plumula;1;2;2;0;1;2;2;3;
Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bicellariella;Bicellariella ciliata;3;3;2;3;3;2;2;2;1
Annelida;Polychaeta;Sabellida;Sabellidae;Bispira;Bispira volutacornis;2;0;0;2;3;2;2;;
Mollusca;Bivalvia;;;;Bivalvia;2;1;2;2;1;2;2;;
