"code_trait";"Annee";"depth";"Trait";"Lat";"Lon";"risk"
"408";"MEDITS_2013_G103_60";2013;46;"G103";42.74675;3.138833333;20.689546585083
"409";"MEDITS_2018_C204_15";2018;70.01612903;"C204";42.1746;9.6039;0.113789200782776
"411";"MEDITS_2014_G203_44";2014;89;"G203";42.509;3.251333333;1.49886953830719
"417";"MEDITS_2015_C203_10";2015;70.5;"C203";41.97058333;9.542083333;1.34046256542206
"418";"MEDITS_2017_C205_22";2017;80;"C205";42.35489909;9.601899719;0.0465686358511448
"419";"MEDITS_2018_C203_12";2018;66.38095238;"C203";41.97765;9.54725;1.60397255420685
"420";"MEDITS_2018_G203_45";2018;86.11290323;"G203";42.51105;3.2475;1.49886953830719
"421";"MEDITS_2015_G101_54";2015;31;"G101";42.95091667;3.086416667;0.320259749889374
"422";"MEDITS_2013_C204_7";2013;69;"C204";42.16716667;9.603666667;0.113789200782776
"423";"MEDITS_2013_G204_52";2013;59.5;"G204";42.99183333;3.295833333;4.76835155487061
"425";"MEDITS_2014_G109_89";2014;31;"G109";43.43825;4.043583333;14.1827745437622
"434";"MEDITS_2013_G101_53";2013;31.5;"G101";42.963;3.094916667;3.13915348052979
"435";"MEDITS_2016_G203_41";2016;87;"G203";42.50935059;3.25069987;1.49886953830719
"437";"MEDITS_2014_C206_17";2014;83.5;"C206";42.44591667;9.620333333;0
"438";"MEDITS_2015_C304_18";2015;112;"C304";42.36391667;9.618833333;0.0772806704044342
"440";"MEDITS_2016_G103_75";2016;49;"G103";42.7430013;3.140350087;20.689546585083
"441";"MEDITS_2014_C403_21";2014;413;"C403";41.99791667;9.643833333;2.20879602432251
"442";"MEDITS_2013_G102_59";2013;38.5;"G102";42.62391667;3.11375;29.1455478668213
"443";"MEDITS_2012_G108_50";2012;25;"G108";43.45791667;3.938;20.8706455230713
"444";"MEDITS_2017_G101_90";2017;32;"G101";42.98509928;3.098699951;2.97776365280151
"445";"MEDITS_2015_C205_19";2015;86;"C205";42.3605;9.604166667;0.0657604783773422
"446";"MEDITS_2014_G108_88";2014;25.5;"G108";43.45616667;3.9385;20.8706455230713
"448";"MEDITS_2017_C201_5";2017;88;"C201";41.48334961;9.46944987;1.00371384620667
"452";"MEDITS_2018_G108_70";2018;23.88709677;"G108";43.4522;3.9424;17.9807834625244
"453";"MEDITS_2012_C206_4";2012;83;"C206";42.44575;9.61975;0
"454";"MEDITS_2013_C203_9";2013;65;"C203";41.96883333;9.54125;1.44947481155396
"455";"MEDITS_2014_C304_19";2014;111.5;"C304";42.36133333;9.618833333;0.0772806704044342
"456";"MEDITS_2012_C205_5";2012;85.5;"C205";42.35316667;9.604;0.0465686358511448
"457";"MEDITS_2012_C204_8";2012;71;"C204";42.16633333;9.604;0.113789200782776
"458";"MEDITS_2015_G310_24";2015;110;"G310";43.14966667;5.075083333;3.50045371055603
"460";"MEDITS_2014_G306_78";2014;112.5;"G306";43.03566667;4.534083333;5.26149606704712
"463";"MEDITS_2015_G222_77";2015;93.5;"G222";42.994;4.022916667;5.64140748977661
"467";"MEDITS_2017_G203_69";2017;89.5;"G203";42.50965169;3.249150085;1.49886953830719
"468";"MEDITS_2013_G104_54";2013;41;"G104";42.95533333;3.17225;8.61080265045166
"469";"MEDITS_2015_G102_70";2015;41;"G102";42.62133333;3.114166667;29.1455478668213
"471";"MEDITS_2013_C205_6";2013;84.5;"C205";42.361;9.6045;0.0657604783773422
"472";"MEDITS_2016_G101_60";2016;31;"G101";42.95670166;3.091600037;0.320259749889374
"474";"MEDITS_2013_G301_41";2013;110;"G301";42.47708333;3.356666667;1.77874314785004
"475";"MEDITS_2016_G108_87";2016;26;"G108";43.45460205;3.939949799;20.8706455230713
"483";"MEDITS_2012_G110_51";2012;26.5;"G110";43.41341667;4.246083333;20.7722263336182
"485";"MEDITS_2012_G106_55";2012;39;"G106";43.214;3.5445;11.4665422439575
"486";"MEDITS_2014_G111_57";2014;33.5;"G111";43.35066667;4.331;11.8551931381226
"489";"MEDITS_2012_G102_36";2012;40.5;"G102";42.61833333;3.113916667;29.1455478668213
"493";"MEDITS_2015_G303_45";2015;134;"G303";42.83825;4.25625;0.0822307989001274
"497";"MEDITS_2012_G111_52";2012;34.5;"G111";43.35158333;4.322916667;10.065957069397
"510";"MEDITS_2016_G106_45";2016;36;"G106";43.22049967;3.548750051;11.4665422439575
"518";"MEDITS_2012_G231_67";2012;99;"G231";43.176;4.785083333;3.51359462738037
"519";"MEDITS_2012_G103_37";2012;48.5;"G103";42.74433333;3.140083333;20.689546585083
"528";"MEDITS_2018_G401_47";2018;337.9008264;"G401";42.4755;3.5796;0.0947471708059311
"530";"MEDITS_2014_C406_24";2014;353.5;"C406";42.603;9.669166667;0.427832126617432
"533";"MEDITS_2016_G309_33";2016;112;"G309";43.14659831;4.987400055;4.80743598937988
"534";"MEDITS_2015_C504_21";2015;543;"C504";42.44758333;9.71975;0.193024173378944
"538";"MEDITS_2016_C501_5";2016;483;"C501";41.59865316;9.548100281;3.23481464385986
"539";"MEDITS_2017_G112_26";2017;39.5;"G112";43.31075033;4.539499664;11.0660972595215
"541";"MEDITS_2013_G302_43";2013;110;"G302";42.61491667;3.571666667;2.69395971298218
"547";"MEDITS_2013_G214_46";2013;92;"G214";42.90175;3.844166667;2.04555892944336
"549";"MEDITS_2015_C501_4";2015;480;"C501";41.5925;9.553083333;3.23481464385986
"553";"MEDITS_2016_C406_23";2016;352;"C406";42.60240072;9.66914978;0.427832126617432
"559";"MEDITS_2017_G108_29";2017;24;"G108";43.45079753;3.945249939;17.9807834625244
"562";"MEDITS_2013_G501_39";2013;412.5;"G501";42.52083333;3.616;0.00797677785158157
"565";"MEDITS_2014_G407_25";2014;583;"G407";43.00466667;5.119083333;0
"571";"MEDITS_2012_C402_19";2012;473;"C402";41.77691667;9.490166667;2.02909994125366
"572";"MEDITS_2016_G110_86";2016;27;"G110";43.41180013;4.250999959;20.7722263336182
"575";"MEDITS_2016_C403_12";2016;417.5;"C403";42.00434977;9.64890035;2.20879602432251
"576";"MEDITS_2018_G302_48";2018;105.7419355;"G302";42.61975;3.56995;2.69395971298218
"577";"MEDITS_2013_G401_42";2013;338.5;"G401";42.47441667;3.580333333;0
"578";"MEDITS_2016_C402_7";2016;479;"C402";41.78605143;9.499250285;3.15756940841675
"580";"MEDITS_2014_C402_12";2014;405.5;"C402";41.76816667;9.48225;4.23673486709595
"582";"MEDITS_2012_C501_23";2012;480.5;"C501";41.59375;9.552166667;3.23481464385986
"584";"MEDITS_2013_C405_3";2013;346.5;"C405";42.38358333;9.666416667;0.570772469043732
"585";"MEDITS_2018_G501_44";2018;610.231405;"G501";42.5184;3.62375;0.00797677785158157
"592";"MEDITS_2013_G402_38";2013;353.5;"G402";42.58616667;3.711833333;0
"594";"MEDITS_2013_C406_21";2013;345.5;"C406";42.61016667;9.665916667;1.02084302902222
"596";"MEDITS_2013_C404_4";2013;500.5;"C404";42.34225;9.691833333;0.260776549577713
"598";"MEDITS_2014_C504_4";2014;537;"C504";42.46225;9.723583333;0.842645287513733
"601";"MEDITS_2013_G105_51";2013;37;"G105";43.12258333;3.337;8.61471652984619
"603";"MEDITS_2013_G212_45";2013;101.5;"G212";42.67333333;3.590916667;5.22948598861694
"605";"MEDITS_2013_G505_76";2013;552.5;"G505";42.79375;4.709416667;0.000572371936868876
"608";"MEDITS_2016_C504_22";2016;552;"C504";42.45805257;9.722350057;0.193024173378944
"609";"MEDITS_2013_G502_37";2013;668;"G502";42.57325;3.8545;0
"612";"MEDITS_2016_G301_69";2016;112.5;"G301";42.47669678;3.356699626;1.77874314785004
"614";"MEDITS_2016_C503_14";2016;555;"C503";42.06219889;9.731000264;0.0243702344596386
"615";"MEDITS_2017_C504_23";2017;539.5;"C504";42.45389811;9.721150208;0.193024173378944
"616";"MEDITS_2013_C502_16";2013;471.5;"C502";41.93183333;9.613833333;2.16265058517456
"619";"MEDITS_2013_C402_15";2013;486;"C402";41.7885;9.5015;3.15756940841675
"626";"MEDITS_2013_G405_64";2013;393;"G405";42.67316667;4.131666667;0
"633";"MEDITS_2014_G212_45";2014;102;"G212";42.68058333;3.592833333;5.7762565612793
"634";"MEDITS_2013_G106_70";2013;38;"G106";43.21491667;3.54325;11.4665422439575
"637";"MEDITS_2016_G304_50";2016;125.5;"G304";42.8758016;4.403099823;2.11661624908447
"643";"MEDITS_2013_G203_40";2013;86.5;"G203";42.50691667;3.2545;4.49010419845581
"646";"MEDITS_2016_G209_70";2016;98;"G209";42.70339762;3.527000173;3.99400448799133
"657";"MEDITS_2016_C203_10";2016;65.5;"C203";41.97014567;9.541999817;1.34046256542206
"666";"MEDITS_2015_G305_47";2015;122.5;"G305";42.97;4.435083333;2.75953984260559
"674";"MEDITS_2016_G212_71";2016;104;"G212";42.67449951;3.591100057;5.22948598861694
"679";"MEDITS_2013_G208_57";2013;92;"G208";42.84541667;3.431333333;3.37537837028503
"682";"MEDITS_2014_G308_28";2014;112.5;"G308";43.06241667;4.847333333;1.97679376602173
"683";"MEDITS_2018_G214_84";2018;89.5;"G214";42.9033;3.6921;2.69965386390686
"689";"MEDITS_2013_G210_50";2013;88.5;"G210";43.04066667;3.564083333;2.53022432327271
"690";"MEDITS_2017_G218_57";2017;95;"G218";42.98429769;3.888049825;6.80727005004883
"694";"MEDITS_2013_G207_62";2013;85;"G207";42.7605;3.32975;6.49904012680054
"697";"MEDITS_2016_G204_47";2016;59;"G204";42.99715169;3.297600047;4.76835155487061
"702";"MEDITS_2017_G308_39";2017;110.5;"G308";43.0514974;4.835750071;2.16375970840454
"716";"MEDITS_2015_G304_46";2015;129;"G304";42.87458333;4.402583333;1.99251294136047
"717";"MEDITS_2018_G222_55";2018;91.09677419;"G222";43.0031;4.01875;5.64140748977661
"722";"MEDITS_2013_G209_44";2013;98;"G209";42.70125;3.517666667;4.09089231491089
"725";"MEDITS_2016_G303_51";2016;132.5;"G303";42.83695068;4.258750153;0.688182890415192
"726";"MEDITS_2013_G213_49";2013;90.5;"G213";43.0435;3.65625;3.24978446960449
"731";"MEDITS_2017_G107_54";2017;33.5;"G107";43.2892985;3.624199931;26.2027530670166
"733";"MEDITS_2017_G305_62";2017;118;"G305";42.98280029;4.425099945;2.86158967018127
"737";"MEDITS_2014_G218_35";2014;95;"G218";42.98925;3.89475;6.37227392196655
"741";"MEDITS_2016_G222_82";2016;94;"G222";42.99334717;4.022350057;5.64140748977661
"750";"MEDITS_2016_G310_32";2016;108.5;"G310";43.14915365;5.075;3.6186854839325
"752";"MEDITS_2017_G214_75";2017;93;"G214";42.90215251;3.686649831;2.82841086387634
"755";"MEDITS_2017_G310_41";2017;108;"G310";43.14800212;5.077000173;3.50045371055603
"759";"MEDITS_2014_G222_79";2014;94;"G222";42.99458333;4.020083333;5.64140748977661
"764";"MEDITS_2016_G202_74";2016;85;"G202";42.71735026;3.249199931;9.19649505615234
"769";"MEDITS_2016_G307_35";2016;114;"G307";42.99125163;4.690600077;1.72413039207458
"776";"MEDITS_2013_G211_48";2013;83.5;"G211";43.092;3.589166667;5.01997947692871
"780";"MEDITS_2017_G309_42";2017;111.5;"G309";43.14575195;4.988749695;4.80743598937988
"782";"MEDITS_2017_G307_46";2017;112.5;"G307";42.99675293;4.692500051;1.72378242015839
"788";"MEDITS_2013_G206_56";2013;83.5;"G206";42.81441667;3.318;6.58019638061523
"790";"MEDITS_2014_G310_26";2014;111;"G310";43.14891667;5.064583333;3.6186854839325
"792";"MEDITS_2018_G218_54";2018;91.07936508;"G218";42.9859;3.88975;6.80727005004883
"793";"MEDITS_2015_G307_35";2015;119;"G307";42.98933333;4.690916667;1.72413039207458
"795";"MEDITS_2016_G221_83";2016;98.5;"G221";43.0801473;4.00625;6.37263345718384
"811";"MEDITS_2017_G303_73";2017;132.5;"G303";42.83575033;4.259649913;0.688182890415192
"813";"MEDITS_2018_G310_27";2018;108.4677419;"G310";43.1479;5.06865;3.6186854839325
"814";"MEDITS_2017_G204_84";2017;60.5;"G204";42.9776001;3.283449809;4.53645372390747
"816";"MEDITS_2014_G303_70";2014;133;"G303";42.832;4.26075;0.688182890415192
"825";"MEDITS_2016_G308_34";2016;111;"G308";43.06184896;4.847450256;1.97679376602173
"834";"MEDITS_2017_G211_87";2017;85.5;"G211";43.09374593;3.590899913;5.01997947692871
"841";"MEDITS_2013_G305_33";2013;115;"G305";42.98691667;4.421916667;1.32770645618439
"849";"MEDITS_2015_G216_78";2015;97;"G216";43.0215;3.833666667;5.06149291992188
"855";"MEDITS_2013_G307_77";2013;116;"G307";42.9885;4.691166667;1.72413039207458
"858";"MEDITS_2017_G228_38";2017;62;"G228";43.25460205;4.395650228;7.3056902885437
"861";"MEDITS_2018_G308_28";2018;109.4761905;"G308";43.0595;4.8452;1.97679376602173
"866";"MEDITS_2013_G225_32";2013;91.5;"G225";43.08525;4.16875;3.2847912311554
"869";"MEDITS_2017_G225_60";2017;94.5;"G225";43.08610433;4.165100098;3.2847912311554
"879";"MEDITS_2014_G307_77";2014;118;"G307";42.98725;4.68925;1.72413039207458
"881";"MEDITS_2018_G212_80";2018;99.96774194;"G212";42.67685;3.5946;5.7762565612793
"887";"MEDITS_2013_G107_47";2013;31.5;"G107";43.28333333;3.61775;26.2027530670166
"891";"MEDITS_2013_G310_26";2013;110.5;"G310";43.14841667;5.059416667;3.6186854839325
"899";"MEDITS_2017_G216_56";2017;93;"G216";43.0161499;3.836450195;5.06149291992188
"900";"MEDITS_2018_G307_29";2018;116.1803279;"G307";42.99095;4.69085;1.72413039207458
"911";"MEDITS_2013_G201_58";2013;75.5;"G201";42.59291667;3.19925;6.82242298126221
"914";"MEDITS_2014_G302_42";2014;109;"G302";42.60891667;3.571583333;2.69395971298218
"919";"MEDITS_2014_G305_74";2014;118;"G305";42.981;4.425916667;2.86158967018127
"921";"MEDITS_2015_G308_27";2015;112;"G308";43.06191667;4.847333333;1.97679376602173
"941";"MEDITS_2012_G309_77";2012;114.5;"G309";43.14;4.9825;2.58823204040527
"946";"MEDITS_2012_C407_2";2012;268;"C407";42.66583333;9.587083333;0.17473791539669
"951";"MEDITS_2012_G207_44";2012;87;"G207";42.75883333;3.3275;6.49904012680054
"954";"MEDITS_2016_G405_66";2016;453.5;"G405";42.67019857;4.134349823;0
"972";"MEDITS_2016_G401_68";2016;344;"G401";42.47439779;3.580599976;0
"973";"MEDITS_2012_C406_15";2012;351;"C406";42.60058333;9.670416667;0.427832126617432
"974";"MEDITS_2017_C406_24";2017;347;"C406";42.61049805;9.666250102;1.02084302902222
"981";"MEDITS_2012_C505_3";2012;526;"C505";42.81116667;9.72975;0.101229175925255
"983";"MEDITS_2016_C505_2";2016;511;"C505";42.82225342;9.721599833;0
"984";"MEDITS_2012_G402_31";2012;334.5;"G402";42.58858333;3.70125;0
"997";"MEDITS_2018_G303_40";2018;132.1587302;"G303";42.83215;4.262;0.688182890415192
"1002";"MEDITS_2014_G502_38";2014;664;"G502";42.57916667;3.84625;0
"1006";"MEDITS_2015_C404_20";2015;482;"C404";42.33716667;9.687416667;3.19727683067322
"1010";"MEDITS_2015_G505_36";2015;503.5;"G505";42.80616667;4.705416667;0.0818491876125336
"1034";"MEDITS_2016_C404_21";2016;480.5;"C404";42.34399821;9.687900289;3.52641773223877
"1039";"MEDITS_2015_C505_23";2015;497;"C505";42.83391667;9.718166667;0.0221774652600288
"1052";"MEDITS_2015_C405_17";2015;344;"C405";42.38175;9.665583333;0.570772469043732
"1056";"MEDITS_2012_G230_76";2012;71;"G230";43.25233333;4.724166667;4.88958120346069
"1057";"MEDITS_2013_C505_23";2013;493.5;"C505";42.84125;9.7155;0.0221774652600288
"1088";"MEDITS_2012_C504_14";2012;535.5;"C504";42.46466667;9.7245;0.842645287513733
"1089";"MEDITS_2013_C504_1";2013;551;"C504";42.43666667;9.718333333;0.189025670289993
"1097";"MEDITS_2012_G308_68";2012;113;"G308";43.0585;4.843916667;1.97679376602173
"1143";"MEDITS_2014_G107_83";2014;33.5;"G107";43.28341667;3.615916667;26.2027530670166
"1146";"MEDITS_2017_C407_18";2017;264;"C407";42.66225179;9.588499959;0.17473791539669
"1152";"MEDITS_2018_G405_41";2018;405.9754098;"G405";42.66975;4.1379;0
"1181";"MEDITS_2017_C302_10";2017;132;"C302";41.93859863;9.555849711;1.07592856884003
"1185";"MEDITS_2013_G215_67";2013;95.5;"G215";42.88125;3.805583333;1.61518180370331
"1186";"MEDITS_2016_C301_6";2016;119.5;"C301";41.62360026;9.471599833;2.03123092651367
"1187";"MEDITS_2012_G214_48";2012;92.5;"G214";42.9015;3.682916667;2.82841086387634
"1188";"MEDITS_2012_C301_22";2012;111.5;"C301";41.63041667;9.466333333;2.02304124832153
"1191";"MEDITS_2012_G307_69";2012;121;"G307";42.98333333;4.690083333;1.72413039207458
"1193";"MEDITS_2016_C303_15";2016;105;"C303";42.23979899;9.629649862;0.0802446305751801
"1201";"MEDITS_2012_C303_7";2012;109;"C303";42.24891667;9.634;0
"1202";"MEDITS_2014_C302_16";2014;143;"C302";41.94316667;9.561416667;0.432062745094299
"1207";"MEDITS_2012_G203_34";2012;88.5;"G203";42.51291667;3.245666667;1.49886953830719
"1209";"MEDITS_2015_C204_13";2015;71.5;"C204";42.16625;9.603833333;0.113789200782776
"1211";"MEDITS_2018_C303_16";2018;107.1451613;"C303";42.2434;9.6313;0
"1223";"MEDITS_2014_C202_11";2014;73;"C202";41.83575;9.447333333;1.07717502117157
"1225";"MEDITS_2012_G215_49";2012;97;"G215";42.86241667;3.806833333;1.91784751415253
"1235";"MEDITS_2012_G406_80";2012;321.5;"G406";42.85508333;4.6945;1.13909256458282
"1236";"MEDITS_2013_C202_14";2013;72;"C202";41.84158333;9.452583333;1.07717502117157
"1239";"MEDITS_2016_C204_13";2016;70.5;"C204";42.16549886;9.603500366;0.113789200782776
"1241";"MEDITS_2012_G301_33";2012;113.5;"G301";42.47825;3.356166667;1.77874314785004
"1244";"MEDITS_2014_C301_10";2014;109.5;"C301";41.6315;9.464833333;2.02304124832153
"1245";"MEDITS_2012_C201_21";2012;90;"C201";41.48566667;9.467833333;1.00371384620667
"1247";"MEDITS_2017_C204_15";2017;65;"C204";42.1658488;9.603649394;0.113789200782776
"1248";"MEDITS_2017_C301_6";2017;111;"C301";41.62899984;9.466900126;2.02304124832153
"1249";"MEDITS_2014_G406_75";2014;293.5;"G406";42.8555;4.693416667;1.13909256458282
"1257";"MEDITS_2012_C302_10";2012;136;"C302";41.934;9.551833333;1.07592856884003
"1274";"MEDITS_2013_C302_19";2013;136;"C302";41.93591667;9.554583333;1.07592856884003
"1298";"MEDITS_2012_G206_89";2012;85;"G206";42.81716667;3.317833333;6.58019638061523
"1304";"MEDITS_2012_G213_58";2012;93;"G213";43.04408333;3.649833333;3.24978446960449
"1312";"MEDITS_2015_C202_9";2015;73.5;"C202";41.83691667;9.449;1.07717502117157
"1379";"MEDITS_2012_G208_47";2012;94;"G208";42.84333333;3.446333333;3.63550567626953
"1385";"MEDITS_2012_G228_65";2012;65;"G228";43.25358333;4.397083333;7.3056902885437
"1410";"MEDITS_2017_G304_63";2017;130.5;"G304";42.87220052;4.405799866;1.99251294136047
"1440";"MEDITS_2012_G211_59";2012;85.5;"G211";43.09716667;3.59;5.01997947692871
"1443";"MEDITS_2012_G303_86";2012;131;"G303";42.83433333;4.26075;0.688182890415192
"1447";"MEDITS_2012_G104_38";2012;43;"G104";42.95483333;3.17275;8.61080265045166
"1448";"MEDITS_2012_G302_29";2012;109.5;"G302";42.61466667;3.57125;2.69395971298218
"1453";"MEDITS_2012_G222_72";2012;93.5;"G222";42.99483333;4.02;5.64140748977661
"1457";"MEDITS_2012_G101_39";2012;31.5;"G101";42.95075;3.08775;0.320259749889374
"1464";"MEDITS_2012_G304_85";2012;125;"G304";42.8745;4.39725;1.99251294136047
"1480";"MEDITS_2012_G224_62";2012;90.5;"G224";43.2185;4.153666667;4.78011035919189
"1481";"MEDITS_2012_G204_40";2012;61;"G204";42.99075;3.293583333;4.20030689239502
"1483";"MEDITS_2012_G310_78";2012;111.5;"G310";43.14916667;5.064166667;3.6186854839325
"1484";"MEDITS_2012_G112_66";2012;39.5;"G112";43.31066667;4.539416667;11.0660972595215
"1486";"MEDITS_2012_G306_70";2012;116;"G306";43.03016667;4.542916667;3.63714241981506
"1487";"MEDITS_2012_G216_25";2012;96.5;"G216";43.02416667;3.831416667;5.06149291992188
"1494";"MEDITS_2012_G218_73";2012;95;"G218";42.991;3.894583333;6.37227392196655
"1495";"MEDITS_2012_G201_35";2012;78;"G201";42.59675;3.20125;6.82242298126221
"1496";"MEDITS_2012_G305_84";2012;114.5;"G305";42.978;4.430333333;2.86158967018127
"1517";"MEDITS_2012_G219_60";2012;69.5;"G219";43.34466667;3.76425;13.7948408126831
"1602";"MEDITS_2012_G105_56";2012;39.5;"G105";43.11508333;3.332166667;8.61471652984619
"1606";"MEDITS_2013_G218_68";2013;93;"G218";42.98308333;3.886;6.80727005004883
"1672";"MEDITS_2015_C403_11";2015;399.5;"C403";42.00558333;9.647916667;2.20879602432251
"1677";"MEDITS_2015_C408_1";2015;332.5;"C408";42.95658333;9.616833333;0
"1686";"MEDITS_2017_C502_12";2017;457.5;"C502";41.93735352;9.616050212;2.16265058517456
"1690";"MEDITS_2015_C401_3";2015;378.5;"C401";41.55775;9.54625;0.0526677556335926
"1699";"MEDITS_2012_G503_27";2012;672.5;"G503";42.68391667;3.967916667;0
"1700";"MEDITS_2013_G404_35";2013;414;"G404";42.76;3.9125;1.18202495574951
"1711";"MEDITS_2012_G504_88";2012;866;"G504";42.56816667;4.211166667;0
"1719";"MEDITS_2016_C304_19";2016;110;"C304";42.36075033;9.61825002;0.0772806704044342
"1728";"MEDITS_2014_G505_76";2014;516;"G505";42.81125;4.70075;0.100102119147778
"1739";"MEDITS_2012_C404_6";2012;481.5;"C404";42.33525;9.68725;3.19727683067322
"1741";"MEDITS_2014_C502_13";2014;500;"C502";41.92758333;9.613833333;2.16265058517456
"1746";"MEDITS_2015_C502_7";2015;488.5;"C502";41.9305;9.615166667;2.16265058517456
"1758";"MEDITS_2013_C408_24";2013;331;"C408";42.95775;9.616833333;0
"1763";"MEDITS_2015_C402_6";2015;486;"C402";41.78083333;9.494416667;3.15756940841675
"1764";"MEDITS_2015_C407_15";2015;267.5;"C407";42.66766667;9.5845;0.17473791539669
"1775";"MEDITS_2017_C503_14";2017;556.5;"C503";42.07099609;9.733249919;0.0243702344596386
"1779";"MEDITS_2015_C406_22";2015;352.5;"C406";42.604;9.668;0.427832126617432
"1791";"MEDITS_2012_C405_13";2012;339.5;"C405";42.37875;9.664583333;0.570772469043732
"1801";"MEDITS_2017_C403_13";2017;401.5;"C403";42.00524902;9.648350016;2.20879602432251
"1806";"MEDITS_2014_C405_18";2014;346;"C405";42.38808333;9.666416667;0.570772469043732
"1811";"MEDITS_2013_G503_36";2013;651.5;"G503";42.67808333;3.972416667;0
"1816";"MEDITS_2016_C405_18";2016;342.5;"C405";42.37814941;9.66280009;0.570772469043732
"1819";"MEDITS_2013_C407_22";2013;285.5;"C407";42.65916667;9.591333333;0.17473791539669
"1822";"MEDITS_2012_C401_20";2012;379.5;"C401";41.56291667;9.543333333;0.136940613389015
"1824";"MEDITS_2014_C404_20";2014;475.5;"C404";42.324;9.686166667;2.78088450431824
"1826";"MEDITS_2017_C402_8";2017;479;"C402";41.78575033;9.498299662;3.15756940841675
"1831";"MEDITS_2016_C407_16";2016;264;"C407";42.65634766;9.593799845;0.371781378984451
"1832";"MEDITS_2012_C403_12";2012;414;"C403";41.999;9.64425;2.20879602432251
"1914";"MEDITS_2018_G505_31";2018;631.5655738;"G505";42.79675;4.7095;0.000572371936868876
"1930";"MEDITS_2015_C303_14";2015;109;"C303";42.24291667;9.6315;0
"1941";"MEDITS_2013_G407_25";2013;454.5;"G407";42.9995;5.118916667;0
"2103";"MEDITS_2014_C204_23";2014;71;"C204";42.1655;9.603416667;0.113789200782776
"2125";"MEDITS_2013_G304_66";2013;123.5;"G304";42.8765;4.401833333;2.11661624908447
"2152";"MEDITS_2018_C202_9";2018;70.53125;"C202";41.83665;9.4489;1.07717502117157
"2184";"MEDITS_2012_G407_79";2012;515.5;"G407";43.00533333;5.118916667;0
"2268";"MEDITS_2016_C202_8";2016;71.5;"C202";41.83575033;9.44840037;1.07717502117157
"2275";"MEDITS_2018_C304_19";2018;108.7377049;"C304";42.3726;9.6187;0.0772806704044342
"2281";"MEDITS_2016_C302_11";2016;157;"C302";41.94965007;9.569200134;0.432062745094299
"2284";"MEDITS_2013_C201_10";2013;88;"C201";41.49008333;9.4655;1.00371384620667
"2286";"MEDITS_2014_C201_7";2014;90;"C201";41.48441667;9.46875;1.00371384620667
"2297";"MEDITS_2017_C304_21";2017;110;"C304";42.36300049;9.618900045;0.0772806704044342
"2300";"MEDITS_2015_C206_16";2015;85.5;"C206";42.45875;9.621333333;0.0509607680141926
"2304";"MEDITS_2017_C202_9";2017;72;"C202";41.84209798;9.453649394;0.0166826490312815
"2312";"MEDITS_2016_C206_17";2016;90;"C206";42.46350098;9.621900431;0.0509607680141926
"2313";"MEDITS_2017_C303_16";2017;106.5;"C303";42.24574788;9.632350159;0
"2316";"MEDITS_2018_C302_11";2018;135.5714286;"C302";41.9398;9.5575;1.07592856884003
"2320";"MEDITS_2018_C206_18";2018;85.25396825;"C206";42.4613;9.62175;0.0509607680141926
"2322";"MEDITS_2014_C303_6";2014;108;"C303";42.25783333;9.636916667;0
"2330";"MEDITS_2016_C205_20";2016;81.5;"C205";42.37025146;9.603849792;0.0657604783773422
"2334";"MEDITS_2012_C304_16";2012;112.5;"C304";42.35983333;9.619166667;0.0772806704044342
"2385";"MEDITS_2013_C304_5";2013;111;"C304";42.362;9.619583333;0.0772806704044342
"2386";"MEDITS_2012_G401_42";2012;373.5;"G401";42.47308333;3.587916667;0
"2388";"MEDITS_2017_C405_20";2017;338.5;"C405";42.38400065;9.665149943;0.570772469043732
"2497";"MEDITS_2014_C505_2";2014;510.5;"C505";42.82408333;9.723333333;0
"2507";"MEDITS_2017_C501_3";2017;485.5;"C501";41.59425049;9.552799988;3.23481464385986
"2550";"MEDITS_2013_C403_18";2013;404.5;"C403";42.00833333;9.651083333;0.5524080991745
"2556";"MEDITS_2018_C406_23";2018;345.942623;"C406";42.6095;9.66685;1.02084302902222
"2637";"MEDITS_2017_C404_17";2017;479;"C404";42.3375;9.687349447;3.19727683067322
"2639";"MEDITS_2018_C407_3";2018;268.852459;"C407";42.6672;9.585;0.17473791539669
"2704";"MEDITS_2012_G405_81";2012;551;"G405";42.80733333;4.703083333;0.0818491876125336
"2730";"MEDITS_2012_G212_30";2012;102.5;"G212";42.68158333;3.594;5.7762565612793
"2755";"MEDITS_2018_C504_21";2018;536.9586777;"C504";42.4577;9.72115;0.193024173378944
"2783";"MEDITS_2013_C401_11";2013;373.5;"C401";41.55991667;9.544166667;0.136940613389015
"2799";"MEDITS_2016_G404_64";2016;425.5;"G404";42.77275391;3.906600189;0.914869070053101
"2878";"MEDITS_2016_C201_3";2016;88;"C201";41.48174642;9.470599874;1.00371384620667
"2909";"MEDITS_2018_C301_6";2018;106;"C301";41.633;9.46455;2.02304124832153
"3035";"MEDITS_2017_C401_4";2017;365.5;"C401";41.55050049;9.548949687;0.0526677556335926
"3090";"MEDITS_2016_G502_67";2016;668.5;"G502";42.56900228;3.865500132;0
"3109";"MEDITS_2017_C505_2";2017;489.5;"C505";42.83734945;9.717599996;0.0221774652600288
"3140";"MEDITS_2015_C503_12";2015;557.5;"C503";42.06808333;9.732833333;0.0243702344596386
"3184";"MEDITS_2017_C206_19";2017;82;"C206";42.46420085;9.621799723;0.0509607680141926
