"code_trait";"Annee";"depth";"Trait";"Lat";"Lon";"risk"
"69";"MEDITS_2012_G223_61";2012;92.5;"G223";43.21041667;4.088583333;3.89888262748718
"70";"MEDITS_2013_G309_78";2013;111.5;"G309";43.14283333;4.985666667;4.80743598937988
"71";"MEDITS_2014_G103_47";2014;48.5;"G103";42.74583333;3.140666667;20.689546585083
"72";"MEDITS_2018_G226_60";2018;85;"G226";43.17425;4.28925;4.58799648284912
"73";"MEDITS_2016_G107_44";2016;31.5;"G107";43.28719482;3.619900004;26.2027530670166
"74";"MEDITS_2014_G201_64";2014;78;"G201";42.59866667;3.201583333;6.82242298126221
"75";"MEDITS_2015_G224_82";2015;90;"G224";43.21825;4.1555;4.78011035919189
"76";"MEDITS_2012_G232_24";2012;94;"G232";43.18033333;3.8275;6.00406694412231
"77";"MEDITS_2014_G225_72";2014;94;"G225";43.0845;4.174833333;3.2847912311554
"78";"MEDITS_2014_G228_56";2014;65;"G228";43.25283333;4.39875;7.3056902885437
"79";"MEDITS_2012_G227_71";2012;72;"G227";43.26316667;4.300416667;7.21251678466797
"80";"MEDITS_2015_G211_69";2015;84.5;"G211";43.10083333;3.59;5.01997947692871
"81";"MEDITS_2015_G204_56";2015;61.5;"G204";42.993;3.29525;4.76835155487061
"82";"MEDITS_2013_G108_84";2013;23;"G108";43.45491667;3.940083333;20.8706455230713
"83";"MEDITS_2015_G220_79";2015;94;"G220";43.2165;3.914333333;4.7206392288208
"84";"MEDITS_2018_G209_90";2018;97.33870968;"G209";42.70155;3.51625;4.09089231491089
"85";"MEDITS_2018_G105_73";2018;35.4516129;"G105";43.12675;3.33835;7.17482900619507
"86";"MEDITS_2015_G106_67";2015;38;"G106";43.21708333;3.546416667;11.4665422439575
"87";"MEDITS_2014_G104_87";2014;43;"G104";42.95475;3.172583333;8.61080265045166
"88";"MEDITS_2014_G219_31";2014;67;"G219";43.346;3.905583333;6.52092456817627
"89";"MEDITS_2014_G226_51";2014;88;"G226";43.17375;4.283666667;4.58799648284912
"90";"MEDITS_2015_G230_88";2015;71;"G230";43.25316667;4.726;5.17835664749146
"91";"MEDITS_2015_G203_41";2015;88.5;"G203";42.51041667;3.248416667;1.49886953830719
"92";"MEDITS_2017_G202_65";2017;84;"G202";42.71750081;3.247000122;9.19649505615234
"93";"MEDITS_2016_G226_54";2016;86;"G226";43.17284749;4.285900116;4.58799648284912
"94";"MEDITS_2017_G231_43";2017;97;"G231";43.17525228;4.7938001;2.06259202957153
"95";"MEDITS_2016_G229_53";2016;77.5;"G229";43.15620117;4.436949921;4.89516019821167
"96";"MEDITS_2016_G228_29";2016;63;"G228";43.25314941;4.397749837;7.3056902885437
"97";"MEDITS_2013_G228_86";2013;62.5;"G228";43.25208333;4.397666667;7.3056902885437
"98";"MEDITS_2014_G224_30";2014;89.5;"G224";43.21791667;4.157583333;4.78011035919189
"99";"MEDITS_2017_G227_37";2017;69.5;"G227";43.25180257;4.308399963;6.35913705825806
"100";"MEDITS_2018_G111_67";2018;31.17460317;"G111";43.3459;4.34225;11.93101978302
"101";"MEDITS_2013_G216_69";2013;96;"G216";43.022;3.832416667;5.06149291992188
"102";"MEDITS_2017_G230_25";2017;68;"G230";43.25855306;4.731799825;5.44698476791382
"103";"MEDITS_2012_C203_9";2012;68.5;"C203";41.97433333;9.545333333;1.34046256542206
"104";"MEDITS_2014_G210_59";2014;88.5;"G210";43.04216667;3.546833333;4.37290096282959
"105";"MEDITS_2016_G232_58";2016;92.5;"G232";43.18440348;3.826450348;6.00406694412231
"106";"MEDITS_2015_G232_80";2015;93.5;"G232";43.18725;3.825333333;6.00406694412231
"107";"MEDITS_2015_G208_58";2015;96;"G208";42.84191667;3.45;3.63550567626953
"108";"MEDITS_2018_G305_33";2018;109.9677419;"G305";42.9954;4.4148;2.18218231201172
"109";"MEDITS_2017_G205_83";2017;72.5;"G205";42.90745036;3.297699992;4.28716611862183
"110";"MEDITS_2016_G104_61";2016;42.5;"G104";42.95100098;3.173650106;8.61080265045166
"111";"MEDITS_2018_G213_52";2018;88.61904762;"G213";43.04455;3.65315;3.24978446960449
"112";"MEDITS_2012_G217_82";2012;94;"G217";43.09516667;3.870583333;4.4804310798645
"113";"MEDITS_2012_G225_75";2012;94;"G225";43.085;4.171833333;3.2847912311554
"114";"MEDITS_2012_G202_43";2012;85.5;"G202";42.71091667;3.249416667;9.19649505615234
"115";"MEDITS_2014_C203_14";2014;68.5;"C203";41.97691667;9.5465;1.60397255420685
"116";"MEDITS_2015_G104_55";2015;43.5;"G104";42.95458333;3.171916667;8.61080265045166
"117";"MEDITS_2018_G201_77";2018;75.96774194;"G201";42.59765;3.2025;6.82242298126221
"118";"MEDITS_2014_G207_65";2014;87;"G207";42.7585;3.329916667;6.49904012680054
"119";"MEDITS_2014_G217_32";2014;96;"G217";43.09633333;3.870333333;4.4804310798645
"120";"MEDITS_2016_G305_49";2016;109.5;"G305";42.99584554;4.413999939;2.18218231201172
