Phyllum;Class;Order;Family;Genus;Taxon;Mobility;Fragility;Position;Size;Feeding.mode;Protection.status.VME.;Protection.status..OSPAR.;SOURCE;Nom_Scientifique;id;name;AphiaID;url;scientificname;authority;status;unacceptreason;taxonRankID;rank;valid_AphiaID;valid_name;valid_authority;parentNameUsageID;kingdom;phylum;class;order;family;genus;citation;lsid;isMarine;isBrackish;isFreshwater;isTerrestrial;isExtinct;match_type;modified;Kingdom;Phylum;Class;Subclass;Order;Superfamily;Family;Genus;Species;Subphylum;Superclass;Superorder;Suborder;Infraorder;Parvorder;Infraclass;Subterclass;Subgenus;Subfamily;Tribe;Section;Subsection;Subspecies
Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Acanthephyra pelagica;0;1;3;0;1;1;1;https://doi.org/10.17882/59517;Acanthephyra pelagica;11;Acanthephyra pelagica;107581;http://www.marinespecies.org/aphia.php?p=taxdetails&id=107581;Acanthephyra pelagica;(Risso, 1816);accepted;NA;220;Species;107581;Acanthephyra pelagica;(Risso, 1816);107018;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;WoRMS (2021). Acanthephyra pelagica (Risso, 1816). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107581 on 2021-04-01;urn:lsid:marinespecies.org:taxname:107581;1;NA;0;0;0;exact;2020-07-12T06:15:12.780Z;Animalia;Arthropoda;Malacostraca;Eumalacostraca;Decapoda;Oplophoroidea;Acanthephyridae;Acanthephyra;Acanthephyra pelagica;Crustacea;Multicrustacea;Eucarida;Pleocyemata;Caridea;NA;NA;NA;NA;NA;NA;NA;NA;NA
Mollusca;Bivalvia;Veneroida;Cardiidae;Acanthocardia;Acanthocardia;2;0;1;2;3;1;1;https://doi.org/10.17882/59517;Acanthocardia;12;Acanthocardia;137732;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137732;Acanthocardia;Gray, 1851;accepted;NA;180;Genus;137732;Acanthocardia;Gray, 1851;1497475;Animalia;Mollusca;Bivalvia;Cardiida;Cardiidae;Acanthocardia;MolluscaBase eds. (2021). MolluscaBase. Acanthocardia Gray, 1851. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=137732 on 2021-04-01;urn:lsid:marinespecies.org:taxname:137732;1;0;0;0;0;exact;2021-03-28T07:17:40.723Z;Animalia;Mollusca;Bivalvia;Autobranchia;Cardiida;Cardioidea;Cardiidae;Acanthocardia;NA;NA;NA;Imparidentia;NA;NA;NA;Heteroconchia;Euheterodonta;NA;Lymnocardiinae;Acanthocardiini;NA;NA;NA
Mollusca;Bivalvia;Veneroida;Cardiidae;Acanthocardia;Acanthocardia aculeata;2;0;1;2;3;1;1;https://doi.org/10.17882/59517;Acanthocardia aculeata;13;Acanthocardia aculeata;138990;http://www.marinespecies.org/aphia.php?p=taxdetails&id=138990;Acanthocardia aculeata;(Linnaeus, 1758);accepted;NA;220;Species;138990;Acanthocardia aculeata;(Linnaeus, 1758);137732;Animalia;Mollusca;Bivalvia;Cardiida;Cardiidae;Acanthocardia;MolluscaBase eds. (2021). MolluscaBase. Acanthocardia aculeata (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138990 on 2021-04-01;urn:lsid:marinespecies.org:taxname:138990;1;0;0;0;0;exact;2014-11-11T15:10:15.350Z;Animalia;Mollusca;Bivalvia;Autobranchia;Cardiida;Cardioidea;Cardiidae;Acanthocardia;Acanthocardia aculeata;NA;NA;Imparidentia;NA;NA;NA;Heteroconchia;Euheterodonta;NA;Lymnocardiinae;Acanthocardiini;NA;NA;NA
Mollusca;Bivalvia;Veneroida;Cardiidae;Acanthocardia;Acanthocardia echinata;2;0;1;2;3;1;1;https://doi.org/10.17882/59517;Acanthocardia echinata;14;Acanthocardia echinata;138992;http://www.marinespecies.org/aphia.php?p=taxdetails&id=138992;Acanthocardia echinata;(Linnaeus, 1758);accepted;NA;220;Species;138992;Acanthocardia echinata;(Linnaeus, 1758);137732;Animalia;Mollusca;Bivalvia;Cardiida;Cardiidae;Acanthocardia;MolluscaBase eds. (2021). MolluscaBase. Acanthocardia echinata (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138992 on 2021-04-01;urn:lsid:marinespecies.org:taxname:138992;1;0;0;0;0;exact;2012-11-30T07:12:40.080Z;Animalia;Mollusca;Bivalvia;Autobranchia;Cardiida;Cardioidea;Cardiidae;Acanthocardia;Acanthocardia echinata;NA;NA;Imparidentia;NA;NA;NA;Heteroconchia;Euheterodonta;NA;Lymnocardiinae;Acanthocardiini;NA;NA;NA
Mollusca;Bivalvia;Veneroida;Cardiidae;Acanthocardia;Acanthocardia spinosa;2;0;1;2;3;1;1;https://doi.org/10.17882/59517;Acanthocardia spinosa;15;Acanthocardia spinosa;138994;http://www.marinespecies.org/aphia.php?p=taxdetails&id=138994;Acanthocardia spinosa;(Lightfoot, 1786);accepted;NA;220;Species;138994;Acanthocardia spinosa;(Lightfoot, 1786);137732;Animalia;Mollusca;Bivalvia;Cardiida;Cardiidae;Acanthocardia;MolluscaBase eds. (2021). MolluscaBase. Acanthocardia spinosa (Lightfoot, 1786). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138994 on 2021-04-01;urn:lsid:marinespecies.org:taxname:138994;1;0;0;0;0;exact;2012-12-09T10:11:31.010Z;Animalia;Mollusca;Bivalvia;Autobranchia;Cardiida;Cardioidea;Cardiidae;Acanthocardia;Acanthocardia spinosa;NA;NA;Imparidentia;NA;NA;NA;Heteroconchia;Euheterodonta;NA;Lymnocardiinae;Acanthocardiini;NA;NA;NA
Mollusca;Bivalvia;Veneroida;Cardiidae;Acanthocardia;Acanthocardia tuberculata;2;0;1;2;3;1;1;https://doi.org/10.17882/59517;Acanthocardia tuberculata;16;Acanthocardia tuberculata;381057;http://www.marinespecies.org/aphia.php?p=taxdetails&id=381057;Acanthocardia tuberculata;(Linnaeus, 1758);accepted;NA;220;Species;381057;Acanthocardia tuberculata;(Linnaeus, 1758);137732;Animalia;Mollusca;Bivalvia;Cardiida;Cardiidae;Acanthocardia;MolluscaBase eds. (2021). MolluscaBase. Acanthocardia tuberculata (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=381057 on 2021-04-01;urn:lsid:marinespecies.org:taxname:381057;1;NA;NA;NA;0;exact;2015-04-26T07:49:10.503Z;Animalia;Mollusca;Bivalvia;Autobranchia;Cardiida;Cardioidea;Cardiidae;Acanthocardia;Acanthocardia tuberculata;NA;NA;Imparidentia;NA;NA;NA;Heteroconchia;Euheterodonta;NA;Lymnocardiinae;Acanthocardiini;NA;NA;NA
Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Acanthochitona;Acanthochitona crinita;1;2;2;0;1;1;1;https://doi.org/10.17882/59517;Acanthochitona crinita;17;Acanthochitona crinita;138675;http://www.marinespecies.org/aphia.php?p=taxdetails&id=138675;Acanthochitona crinita;(Pennant, 1777);accepted;NA;220;Species;138675;Acanthochitona crinita;(Pennant, 1777);137613;Animalia;Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Acanthochitona;MolluscaBase eds. (2021). MolluscaBase. Acanthochitona crinita (Pennant, 1777). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138675 on 2021-04-01;urn:lsid:marinespecies.org:taxname:138675;1;NA;NA;NA;NA;exact;2004-12-21T15:54:05Z;Animalia;Mollusca;Polyplacophora;Neoloricata;Chitonida;Cryptoplacoidea;Acanthochitonidae;Acanthochitona;Acanthochitona crinita;NA;NA;NA;Acanthochitonina;NA;NA;NA;NA;NA;Acanthochitoninae;NA;NA;NA;NA
Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Acanthochitona;Acanthochitona fascicularis;1;2;2;0;1;1;1;https://doi.org/10.17882/59517;Acanthochitona fascicularis;18;Acanthochitona fascicularis;138677;http://www.marinespecies.org/aphia.php?p=taxdetails&id=138677;Acanthochitona fascicularis;(Linnaeus, 1767);accepted;NA;220;Species;138677;Acanthochitona fascicularis;(Linnaeus, 1767);137613;Animalia;Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Acanthochitona;MolluscaBase eds. (2021). MolluscaBase. Acanthochitona fascicularis (Linnaeus, 1767). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138677 on 2021-04-01;urn:lsid:marinespecies.org:taxname:138677;1;NA;NA;NA;NA;exact;2004-12-21T15:54:05Z;Animalia;Mollusca;Polyplacophora;Neoloricata;Chitonida;Cryptoplacoidea;Acanthochitonidae;Acanthochitona;Acanthochitona fascicularis;NA;NA;NA;Acanthochitonina;NA;NA;NA;NA;NA;Acanthochitoninae;NA;NA;NA;NA
Mollusca;Gastropoda;Nudibranchia;Onchidorididae;Acanthodoris;Acanthodoris pilosa;1;2;2;0;1;1;1;https://doi.org/10.17882/59517;Acanthodoris pilosa;19;Acanthodoris pilosa;140627;http://www.marinespecies.org/aphia.php?p=taxdetails&id=140627;Acanthodoris pilosa;(Abildgaard [in Müller], 1789);accepted;NA;220;Species;140627;Acanthodoris pilosa;(Abildgaard [in Müller], 1789);138284;Animalia;Mollusca;Gastropoda;Nudibranchia;Onchidorididae;Acanthodoris;MolluscaBase eds. (2021). MolluscaBase. Acanthodoris pilosa (Abildgaard [in Müller], 1789). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=140627 on 2021-04-01;urn:lsid:marinespecies.org:taxname:140627;1;0;0;0;NA;exact;2020-04-21T21:12:30.433Z;Animalia;Mollusca;Gastropoda;Heterobranchia;Nudibranchia;Onchidoridoidea;Onchidorididae;Acanthodoris;Acanthodoris pilosa;NA;NA;Nudipleura;Doridina;Doridoidei;NA;Euthyneura;Ringipleura;NA;NA;NA;NA;NA;NA
Arthropoda;Maxillopoda;Sessilia;Archaeobalanidae;Acasta;Acasta spongites;3;3;1;0;3;1;1;https://doi.org/10.17882/59517;Acasta spongites;20;Acasta spongites;106205;http://www.marinespecies.org/aphia.php?p=taxdetails&id=106205;Acasta spongites;(Poli, 1791);accepted;NA;220;Species;106205;Acasta spongites;(Poli, 1791);106116;Animalia;Arthropoda;Hexanauplia;Sessilia;Archaeobalanidae;Acasta;WoRMS (2021). Acasta spongites (Poli, 1791). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=106205 on 2021-04-01;urn:lsid:marinespecies.org:taxname:106205;1;NA;NA;NA;0;exact;2013-07-03T10:38:20.383Z;Animalia;Arthropoda;Hexanauplia;Thecostraca;Sessilia;Balanoidea;Archaeobalanidae;Acasta;Acasta spongites;Crustacea;Multicrustacea;Thoracica;Balanomorpha;NA;NA;Cirripedia;NA;NA;Acastinae;NA;NA;NA;NA
